mes,termino,interes,category
2023-09,trench coat,2.0,prenda
2023-10,trench coat,3.0,prenda
2023-11,trench coat,3.0,prenda
2023-12,trench coat,2.0,prenda
2024-01,trench coat,2.0,prenda
2024-02,trench coat,2.0,prenda
2024-03,trench coat,2.0,prenda
2024-04,trench coat,2.0,prenda
2024-05,trench coat,2.0,prenda
2024-06,trench coat,1.0,prenda
2024-07,trench coat,1.0,prenda
2024-08,trench coat,2.0,prenda
2024-09,trench coat,3.0,prenda
2024-10,trench coat,4.0,prenda
2024-11,trench coat,3.0,prenda
2024-12,trench coat,3.0,prenda
2025-01,trench coat,3.0,prenda
2025-02,trench coat,3.0,prenda
2025-03,trench coat,3.0,prenda
2025-04,trench coat,2.0,prenda
2025-05,trench coat,2.0,prenda
2025-06,trench coat,2.0,prenda
2025-07,trench coat,2.0,prenda
2025-08,trench coat,3.0,prenda
2025-09,trench coat,4.0,prenda
2025-10,trench coat,5.0,prenda
2025-11,trench coat,4.0,prenda
2025-12,trench coat,4.0,prenda
2026-01,trench coat,3.0,prenda
2020-01,bomber jacket,2.0,prenda
2020-02,bomber jacket,2.0,prenda
2020-03,bomber jacket,1.0,prenda
2020-04,bomber jacket,1.0,prenda
2020-05,bomber jacket,1.0,prenda
2020-06,bomber jacket,1.0,prenda
2020-07,bomber jacket,1.0,prenda
2020-08,bomber jacket,2.0,prenda
2020-09,bomber jacket,2.0,prenda
2020-10,bomber jacket,2.0,prenda
2020-11,bomber jacket,2.0,prenda
2020-12,bomber jacket,3.0,prenda
2021-01,bomber jacket,2.0,prenda
2021-02,bomber jacket,2.0,prenda
2021-03,bomber jacket,2.0,prenda
2021-04,bomber jacket,2.0,prenda
2021-05,bomber jacket,2.0,prenda
2021-06,bomber jacket,1.0,prenda
2021-07,bomber jacket,1.0,prenda
2021-08,bomber jacket,1.0,prenda
2021-09,bomber jacket,2.0,prenda
2021-10,bomber jacket,3.0,prenda
2021-11,bomber jacket,3.0,prenda
2021-12,bomber jacket,3.0,prenda
2022-01,bomber jacket,2.0,prenda
2022-02,bomber jacket,2.0,prenda
2022-03,bomber jacket,2.0,prenda
2022-04,bomber jacket,2.0,prenda
2022-05,bomber jacket,2.0,prenda
2022-06,bomber jacket,1.0,prenda
2022-07,bomber jacket,1.0,prenda
2022-08,bomber jacket,1.0,prenda
2022-09,bomber jacket,2.0,prenda
